owner,app,doi,brainlife_id
brainlife,app-convert-wmc2labels,10.25663/brainlife.app.492,60538a6038fe12718ef0cd87
brainlife,app-wmctotrk,10.25663/brainlife.app.127,5bf5f6158fd1cc1134215180
brainlife,app-wmctotrk,10.25663/brainlife.app.129,5c06c3764ed1ac00273e68e3
brainlife,app-wmctotrk,10.25663/brainlife.app.231,5d89980e9842202a887ec261
brainlife,app-convert-wmc2wmc,10.25663/brainlife.app.201,5ce30cda40363b00353677ec
brainlife,app-cortex-tissue-mapping,10.25663/brainlife.app.379,5eea8548d39ceb4a30a090eb
brainlife,app-cortex-tissue-mapping,10.25663/brainlife.app.380,5eea858dd39ceb8483a09252
brainlife,app-cortex-tissue-mapping,10.25663/brainlife.app.480,60356cdd3a0011c55f52e65c
brainlife,app-cortex-tissue-mapping,10.25663/brainlife.app.516,608da87c8fe49f54761a9455
brainlife,app-cortex-tissue-mapping,10.25663/brainlife.app.560,6115dd26a5a04cb2b8f9f32f
brainlife,app-cortex-tissue-mapping,10.25663/brainlife.app.381,5eea88a5d39cebf15aa0948c
brainlife,app-cortex-tissue-mapping,10.25663/brainlife.app.382,5eea88bed39ceb789aa09510
brainlife,app-cortex-tissue-mapping,10.25663/brainlife.app.431,5f6cdaae6bbee32c629a2904
brainlife,app-cortex-tissue-mapping,10.25663/brainlife.app.479,60356c413a00110c6952e4e5
brainlife,app-cortex-tissue-mapping,10.25663/brainlife.app.515,608da73d8fe49ff0f31a929d
brainlife,app-cortex-tissue-mapping,10.25663/brainlife.app.561,6115dd7aa5a04cc30cf9f3fe
brainlife,app-cortex-tissue-mapping,10.25663/brainlife.app.562,6115e055a5a04ca30df9f71e
brainlife,app-hcp-cortex-mapping-replication,10.25663/brainlife.app.430,5f6cc1836bbee392069a19a6
brainlife,app-hcp-cortex-mapping-replication,10.25663/brainlife.app.293,5e8109c5dd840ee057e930dc
JacobColbyTanner,bnbl_brainlife,10.25663/brainlife.app.450,5fbc2d627e8ecb4e35abe62f
DanNBullock,app-createMNI_ROIS_and_warp2subj,10.25663/brainlife.app.629,6286a9ced0697cf1eae44a76
brainlife,app-mrtrix3-dwi-brainmask,10.25663/brainlife.app.387,5ef1211e78d63f25fbd39e02
brainlife,app-get-events,10.25663/brainlife.app.507,607959e198cade1e649b2183
brainlife,app-create-networkneuro,10.25663/brainlife.app.620,626bf253f3858674a2a6c9fb
brainlife,app-create-networkneuro,10.25663/brainlife.app.568,61310849584a7676723cb740
brainlife,app-cortex-tissue-mapping,10.25663/brainlife.app.573,613a78182012731985c885a5
brainlife,app-crop_reorient,10.25663/bl.app.15,5a0f38bf31769f1e4d46cc58
brainlife,app-crop_reorient,10.25663/brainlife.app.114,5bc0e221afd0bc0027efccef
FBK-NILab,bl_app_dbb_ANTsCTSeg,10.25663/brainlife.app.541,60ef07acddc2dff22965f239
FBK-NILab,bl_app_dbb_DiceScore,10.25663/brainlife.app.579,61645a25fc8eb9c745fa2f2e
FBK-NILab,bl_app_dbb_DisSeg,10.25663/brainlife.app.548,60f83394b99111089ab55f80
FBK-NILab,bl_app_dbb_preproc_t1w,10.25663/brainlife.app.535,60cb69e0cdfdb50220fee1c3
giulia-berto,app-compute-dsc,10.25663/brainlife.app.212,5d2882b742ed0707bd305676
giulia-berto,app-compute-dsc,10.25663/bl.app.57,5ad79504363fd5002759a6b5
brainlife,app-dwi-debias,10.25663/brainlife.app.557,611301a3a5a04c0a6df90472
brainlife,app-dwi-debias,10.25663/brainlife.app.234,5d9e9b8a2b4f67c7b8e670b1
dipy,bl_apps_dipy_info,10.25663/bl.app.63,5b1efecd73279e0028adfc1f
brainlife,app-dwi2t1-nonlinear,10.25663/brainlife.app.111,5bbf8a5cfcb14c00272a4971
kitchell,app-decimatemesh,10.25663/brainlife.app.148,59fa4fec98d5fa005dc3d55b
svincibo,app-mp2rage-denoiseUNI,10.25663/brainlife.app.506,607f1682932bd76bbbfdffda
brainlife,app-denoise-tensorflow,10.25663/brainlife.app.247,5dc307567f55b883d2bd4daf
dipy,bl_apps_dipy_denoise_lpca,10.25663/brainlife.app.454,5ea7bf49f1745d5b2ff80319
dipy,bl_apps_dipy_denoise_mppca,10.25663/brainlife.app.326,5ea7c33bf1745d4582f803e1
dipy,bl_apps_dipy_denoise_nlmeans,10.25663/bl.app.72,5a271f814e57c077cf5e3476
davhunt,app-darts,10.25663/brainlife.app.276,5e46ff4e1eafff7a00f9899e
guiomar,app-bad-channels,10.25663/brainlife.app.494,605e0a9616c60638446315ee
dungscout96,app-test-brainlife,10.25663/brainlife.app.538,60dc97c6cdfdb5ebe50156fb
guiomar,app_bdf2mne,10.25663/brainlife.app.635,628b67eed0697cf1eaeb5031
guiomar,app_brainvision2mne,10.25663/brainlife.app.636,628b6938d0697cf1eaeb6077
guiomar,app_edf2mne,10.25663/brainlife.app.637,628b6b3ed0697cf1eaeb70e9
guiomar,app_eeglab2mne,10.25663/brainlife.app.633,628b6340d0697cf1eaeb2a74
brainlife,app-epi-t1-registration,10.25663/brainlife.app.286,5e6a8ebd8740673152a3d18f
dichio,bl-ERGM,10.25663/brainlife.app.594,6197cbd45464ddc6f09a3a98
FarnazZE,bnbl-brainlife-create-edge-time-series,10.25663/brainlife.app.489,6048fde5ebfe45fb1b3acdda
guiomar,app-emptyroom-proj,10.25663/brainlife.app.645,62a3246aab3e66978060531f
brainlife,app-ensembletracking,10.25663/bl.app.103,5baa3fc9d0be8b002776b8de
brainlife,app-ensembletracking,10.25663/bl.app.33,592dbbccb3cd7c00211dc235
guiomar,app-epoch-equal,10.25663/brainlife.app.584,616e7fd8fc8eb90a21ff8eaa
brainlife,app-make-epochs,10.25663/brainlife.app.508,60799b9f98cade729e9b281c
brainlife,app-split-dwi-volumes,10.25663/brainlife.app.575,6144aa977a38b05b4ba047f6
brainlife,app-split-dwi-volumes,10.25663/brainlife.app.371,5edc6366c5972b5814b39503
brainlife,app-mrtrix3-split-b0s,10.25663/brainlife.app.263,5df431a62dac9b59e0ae1355
brainlife,app-extract-diffusion-metrics-rois,10.25663/brainlife.app.525,60a8125122b42a158170e126
brainlife,app-extract-diffusion-metrics-rois,10.25663/brainlife.app.283,5e5d6cd482b37f75bd8f310c
brainlife,app-extract-diffusion-metrics-rois,10.25663/brainlife.app.363,5ed02be70a8ed8f33f482e4f
brainlife,app-extract-diffusion-metrics-rois,10.25663/brainlife.app.284,5e5d6cfe82b37fe8808f3165
brainlife,app-extract-diffusion-metrics-rois,10.25663/brainlife.app.285,5e5d6d5282b37f5cfa8f32a2
brainlife,app-extract-diffusion-metrics-rois,10.25663/brainlife.app.364,5ed02c160a8ed81c69482f0f
brainlife,app-extract-diffusion-metrics-tissue-types,10.25663/brainlife.app.377,5ee27b0fc5972b1866b46f10
bacaron,app-extractTCKfromWMC,10.25663/brainlife.app.663,62e96a0af320d93f5ef9accd
brainlife,app-extractTCKfromWMC,10.25663/brainlife.app.251,5dd06111c4ae28135d29adae
brainlife,app-mrtrix3-split-b0s,10.25663/brainlife.app.475,60282ffddea2e28693797e57
brainlife,app-cortex-tissue-mapping-stats,10.25663/brainlife.app.437,5f76303c268f76393329775a
joy-neuro,bnbl_brainlife,10.25663/brainlife.app.460,5fda7ccb57aacd1b0e2f1c91
brainlife,app-fsl-anat,10.25663/brainlife.app.273,5e3c87ae9362b7166cf9c7f4
brainlife,app-fsl-anat,10.25663/brainlife.app.350,5ec6eda01f4464acbc9e54ec
brainlife,app-fsl-anat,10.25663/brainlife.app.512,6083329689df4317546dd88a
brainlife,app-FSLBET,10.25663/brainlife.app.163,5c63a9c3f2362b00318046c2
brainlife,app-FSLBET,10.25663/bl.app.2,5a54faf541fd04003f9d488b
brainlife,app-FSLBET,10.25663/brainlife.app.156,5c58b7e012cbcc01e1635b88
brainlife,app-FSLBET,10.25663/brainlife.app.184,5cc079c54ed9df00317f61a8
brainlife,app-fslDTIFIT,10.25663/brainlife.app.292,5e7f90e9dd840e81aae91906
brainlife,app-fslDTIFIT,10.25663/brainlife.app.137,5c1d67383e9c170177733d3f
brainlife,app-FSLTopupEddy,10.25663/brainlife.app.544,60ef7997ddc2df54d26631cd
brainlife,app-FSLTopupEddy,10.25663/brainlife.app.543,60ef76e8ddc2df373e6630a0
brainlife,app-FSLTopupEddy,10.25663/brainlife.app.542,60ef1c3dddc2df157165f72b
brainlife,app-crop_reorient,10.25663/brainlife.app.502,607084bcc7f80a838695d8f4
brainlife,app-crop_reorient,10.25663/brainlife.app.500,60707f8bc7f80a0cb895d6ca
brainlife,app-crop_reorient,10.25663/brainlife.app.501,6070841ec7f80a148795d7c4
brainlife,app-FSLTopupEddy,10.25663/brainlife.app.155,5c54df0f12cbcc01e1635aff
brainlife,app-FSLTopupEddy,10.25663/brainlife.app.287,5e6e72838a20890d8a8e96af
brainlife,app-FSLTopupEddy,10.25663/brainlife.app.662,62d1aab8f3194eded6010de9
hanna-willis,app-roi-fslmaths,10.25663/brainlife.app.680,633f3e1ffa262bbde29ea5aa
brainlife,app-sift-sift2,10.25663/brainlife.app.616,62682dc8f3858674a29f9c3f
bacaron,app-filter-wmc,10.25663/brainlife.app.621,626c5a55f3858674a2a7d7c3
guiomar,app-peak-frequency,10.25663/brainlife.app.531,60b895780ad40d2658ca61fb
dipy,bl_apps_dipy_fit_csa,10.25663/bl.app.61,5b1efc8673279e0028adfc08
dipy,bl_apps_dipy_fit_csd,10.25663/bl.app.62,5b1efd2973279e0028adfc18
bacaron,app-mrtrix3-act,10.25663/brainlife.app.238,5db224e98aeeee0f87f25c1f
dipy,bl_apps_dipy_fit_dki,10.25663/bl.app.9,5ae9d732f446980028b15ec2
dipy,bl_apps_dipy_fit_dti,10.25663/bl.app.60,5b1efb6673279e0028adfc01
dipy,bl_apps_dipy_fit_ivim,10.25663/brainlife.app.322,5ea7b4d2f1745d1c26f80269
dipy,bl_apps_dipy_fit_mapmri,10.25663/bl.app.67,5b217a3e16fe38002748e5ff
brainlife,app-noddi-amico,10.25663/brainlife.app.343,5ec2c32b41ba11f78bf40526
brainlife,app-noddi-amico,10.25663/bl.app.35,59fa056a98d5fa005dc3d553
brainlife,app-mrtrix3-tensor-fit,10.25663/brainlife.app.528,60ad394922b42ae2f1766b79
brainlife,app-qt1-mrq,10.25663/brainlife.app.481,6036ca8c3a001153f254ebf4
FBK-NILab,fractal_dimension,10.25663/brainlife.app.442,5f8824eff5848e2f8a392e29
brainlife,app-template-python,10.25663/brainlife.app.444,5fa45626e138ec86474ea032
brainlife,app-freesurfer,10.25663/bl.app.0,58c56d92e13a50849b258801
brainlife,app-freesurfer,10.25663/brainlife.app.462,5fe1056057aacd480f2f8e48
bacaron,app-freesurfer,10.25663/brainlife.app.605,621abcaa5d8ab5d5f015c555
brainlife,app-freesurfer-longitudinal,10.25663/brainlife.app.603,61e1a03433cb3deb499043ba
brainlife,app-freesurfer-longitudinal,10.25663/brainlife.app.602,61e195b233cb3deb499027b4
brainlife,app-freesurfer,10.25663/brainlife.app.664,62fa925519b13f0a0edd5c7c
brainlife,app-deface,10.25663/brainlife.app.146,59714d376c3b7e0029153f53
brainlife,app-freesurfer-agg,10.25663/bl.app.94,5b7f0f89b3e3800027ce9b6c
kitchell,app-3Dfreesurfs,10.25663/bl.app.98,5aa826baf315ba00317fe086
brainlife,app-freesurfer-longitudinal-statistics,10.25663/brainlife.app.609,622bd8be5d8ab5d5f034854a
brainlife,app-freesurfer-stats,10.25663/brainlife.app.272,5e31bea8b81ce26c2f9c9a88
brainlife,app-freesurfer-osg,10.25663/brainlife.app.268,5e03c7c332bff0800ae2a47b
brainlife,app-freesurfer-osg,10.25663/bl.app.49,5931c0b8ff090a00210eff09
davhunt,app-GLMdenoise,10.25663/brainlife.app.451,5f6d182b6bbee393d99a6b2c
brainlife,app-roiGenerator,10.25663/brainlife.app.417,5f5a7b200c8f95f36765fee9
davhunt,surface_tools,10.25663/brainlife.app.126,5beefe7b910945002799f6d8
brainlife,app-roiGenerator,10.25663/brainlife.app.453,5fc953b61828bc065252abf2
brainlife,app-prostriata-lgn-roi-generation,10.25663/brainlife.app.288,5e76b21ade643b2ad12a8e31
brainlife,app-roiGenerator,10.25663/brainlife.app.440,5f86894be6432df0c492cd28
brainlife,app-roiGenerator,10.25663/brainlife.app.349,5ec69cdd1f4464c1e69e3a21
brainlife,app-roiGenerator,10.25663/brainlife.app.411,5f5277bf42c17215e36504d8
brainlife,app-roiGenerator,10.25663/brainlife.app.485,603b05a578e65d7545d1b80c
brainlife,app-roiGenerator,10.25663/brainlife.app.413,5f52cc1242c172b908651a8a
brainlife,app-ROIsfromAtlas,10.25663/brainlife.app.140,5c364d71836af601cc85864d
brainlife,app-roiGenerator,10.25663/brainlife.app.549,60f83f2db991118b34b56b02
brainlife,app-roiGenerator,10.25663/brainlife.app.242,5dbb497c8aeeee769af34e75
brainlife,app-roiGenerator,10.25663/brainlife.app.342,5ec29d1641ba11e054f3edc1
brainlife,app-roiGenerator,10.25663/brainlife.app.591,6192cd0d983d5bb13f951b61
brainlife,app-roiGenerator,10.25663/brainlife.app.592,6192d0a4983d5bb13f958870
brainlife,app-roiGenerator,10.25663/brainlife.app.546,60f5a0bab99111586bb464ae
brainlife,app-plot-classified-streamlines,10.25663/brainlife.app.401,5f35afa64615e04b1abf9a43
brainlife,app-roiGenerator,10.25663/brainlife.app.414,5f52cc4b42c17250a7651b63
brainlife,app-roiGenerator,10.25663/brainlife.app.441,5f873282e6432d41a892e131
brainlife,app-roiGenerator,10.25663/brainlife.app.624,62757902cbc76827b7240da9
brainlife,app-wmc_figures,10.25663/brainlife.app.607,6220e63e5d8ab5d5f01fb8c1
kitchell,app-AFQ_figures,10.25663/brainlife.app.310,5e90d0b1952fef2bba7bc991
brainlife,app-plot-odf,10.25663/brainlife.app.317,5e9d30c6f1745d6b05f681b7
brainlife,app-slicer-fsl,10.25663/brainlife.app.298,5e88c6f0952fef0a3d7abf59
brainlife,app-slicer-fsl,10.25663/brainlife.app.309,5e8e162f952fef6d527b6d09
brainlife,app-slicer-fsl,10.25663/brainlife.app.367,5ed02d3c0a8ed86d37483300
brainlife,app-slicer-fsl,10.25663/brainlife.app.303,5e88c77c952fef4cce7ac043
brainlife,app-slicer-fsl,10.25663/brainlife.app.300,5e88c72d952fefe0a07abfb6
brainlife,app-slicer-fsl,10.25663/brainlife.app.301,5e88c743952fef67fc7abfe5
brainlife,app-slicer-fsl,10.25663/brainlife.app.588,617061bffc8eb9a0ee00a911
brainlife,app-cortex-mapping-images,10.25663/brainlife.app.461,5fe00ea457aacde3b62f7704
brainlife,app-slicer-fsl,10.25663/brainlife.app.299,5e88c717952fef602e7abf87
brainlife,app-slicer-fsl,10.25663/brainlife.app.490,604b9bbf38fe120d9bef80f2
brainlife,app-slicer-fsl,10.25663/brainlife.app.308,5e8ccf72952fef2eb67b4252
brainlife,app-slicer-fsl,10.25663/brainlife.app.307,5e8ccdb3952fef30b27b41e3
brainlife,app-slicer-fsl,10.25663/brainlife.app.302,5e88c763952fefb8487ac014
